feature,importance
month,0.622547
Barometric Pressure,0.069538034
Total Rain,0.05877782
wind_u,0.041875422
Humidity,0.037215337
Solar Radiation,0.028228858
hour,0.02765481
pressure_rolling_7h,0.022756672
wind_v,0.022218704
humidity_rolling_24h,0.019344186
Station Name_Foster Weather Station,0.018502185
Station Name_Oak Street Weather Station,0.018037632
rain_intensity_rolling_24h,0.0069277957
day_of_week,0.0063755796
